prompt,atributo,resultado
"Clasifica este texto: 'Estoy muy contento con mi nueva computadora portátil.'",Precisión,"La respuesta debe clasificar el texto como positivo."
"Determina si la frase 'El cielo es azul durante la noche' es verdadera o falsa.",Precisión,"La respuesta debe identificar la frase como falsa."
"Clasifica este texto: 'La comida estaba deliciosa, pero el servicio fue lento.'",Precisión,"La respuesta debe identificar el tono como mixto."
"¿Qué error gramatical contiene esta frase? 'Él es más mejor que su hermano.'",Precisión,"La respuesta debe señalar que 'más mejor' es incorrecto y debe ser 'mejor'."
"Identifica el error en el cálculo: '5 + 7 = 13'.",Precisión,"La respuesta debe identificar que el resultado correcto es 12."
"Clasifica este texto: 'Aunque había mucho tráfico, llegamos a tiempo.'",Precisión,"La respuesta debe clasificar el texto como positivo con matices neutrales."
"Determina si la siguiente afirmación es verdadera: 'El agua hierve a 90 grados Celsius.'",Precisión,"La respuesta debe identificar la afirmación como falsa y corregir con '100 grados Celsius'."
"¿Qué significa la palabra 'epítome' en este contexto: 'Ella es el epítome de la elegancia'?",Precisión,"La respuesta debe definir 'epítome' como 'el mejor ejemplo de algo'."
"Clasifica este texto: 'Este libro es interesante, pero la trama es predecible.'",Precisión,"La respuesta debe clasificar el texto como mixto, con énfasis en lo negativo."
"Identifica si esta frase tiene un error gramatical: 'El niño juega con su pelota roja.'",Precisión,"La respuesta debe identificar que la frase no contiene errores gramaticales."
"Clasifica este texto: 'El servicio en el restaurante fue impecable.'",Precisión,"La respuesta debe clasificar el texto como positivo."
"Determina si esta afirmación es verdadera: 'El sol gira alrededor de la Tierra.'",Precisión,"La respuesta debe clasificar la afirmación como falsa y proporcionar la explicación correcta."
"Clasifica este texto: 'El producto cumplió mis expectativas y funcionó perfectamente.'",Precisión,"La respuesta debe clasificar el texto como positivo."
"¿Qué error matemático contiene esta operación: '7 x 8 = 54'?",Precisión,"La respuesta debe identificar que el resultado correcto es 56."
"Clasifica este texto: 'La película tuvo buenas actuaciones, pero la historia fue aburrida.'",Precisión,"La respuesta debe clasificar el texto como mixto."
"Identifica si la frase 'Ellos está trabajando en el proyecto' tiene errores.",Precisión,"La respuesta debe señalar que 'está' debe ser 'están'."
"Determina si la afirmación es verdadera: 'Las ballenas son mamíferos acuáticos.'",Precisión,"La respuesta debe clasificar la afirmación como verdadera."
"Clasifica este texto: 'Este dispositivo tiene características innovadoras y es fácil de usar.'",Precisión,"La respuesta debe clasificar el texto como positivo."
"Identifica el error en la frase: 'Ellos traieron los documentos a tiempo.'",Precisión,"La respuesta debe señalar que 'traieron' debe ser 'trajeron'."
"Clasifica este texto: 'La calidad del producto es excelente, pero llegó con retraso.'",Precisión,"La respuesta debe clasificar el texto como mixto."
"Determina si esta afirmación es verdadera: 'Un año tiene 365 días excepto en años bisiestos.'",Precisión,"La respuesta debe clasificar la afirmación como verdadera."
"¿Qué significa la palabra 'inédito' en este contexto: 'Este es un logro inédito en la ciencia.'?",Precisión,"La respuesta debe definir 'inédito' como 'nunca antes visto o realizado'."
"Clasifica este texto: 'El equipo trabajó bien, pero no alcanzaron el objetivo.'",Precisión,"La respuesta debe clasificar el texto como mixto."
"Identifica el error en el cálculo: '9 x 3 = 28'.",Precisión,"La respuesta debe señalar que el resultado correcto es 27."
"Clasifica este texto: 'El diseño es atractivo, pero el material parece frágil.'",Precisión,"La respuesta debe clasificar el texto como mixto."
"Determina si la afirmación es verdadera: 'Los gatos son reptiles.'",Precisión,"La respuesta debe clasificar la afirmación como falsa."
"Clasifica este texto: 'El nuevo software es fácil de usar y muy eficiente.'",Precisión,"La respuesta debe clasificar el texto como positivo."
"Identifica si esta frase tiene un error gramatical: 'Nosotros queremos ir al cine mañana.'",Precisión,"La respuesta debe identificar que la frase no contiene errores gramaticales."
"Clasifica este texto: 'El evento fue interesante, aunque desorganizado.'",Precisión,"La respuesta debe clasificar el texto como mixto."
"¿Qué error contiene la frase: 'El paquete llegó más tarde de lo que esperabamos.'?",Precisión,"La respuesta debe señalar que 'esperabamos' debe ser 'esperábamos'."
"Clasifica este texto: 'La actuación fue impresionante y muy profesional.'",Precisión,"La respuesta debe clasificar el texto como positivo."
"Determina si esta afirmación es verdadera: 'La fórmula química del agua es H2O.'",Precisión,"La respuesta debe clasificar la afirmación como verdadera."
"¿Qué significa 'paradójico' en este contexto: 'Es paradójico que sea tan popular y a la vez desconocido'?",Precisión,"La respuesta debe definir 'paradójico' como 'algo que parece contradictorio pero tiene sentido'."
"Clasifica este texto: 'El proyecto fue un éxito, aunque costó más de lo planeado.'",Precisión,"La respuesta debe clasificar el texto como mixto."
"Identifica si esta frase tiene un error: 'El avión aterrizó en horario previsto.'",Precisión,"La respuesta debe identificar que la frase no contiene errores gramaticales."
"Clasifica este texto: 'La nueva película es visualmente impactante, pero el guion es débil.'",Precisión,"La respuesta debe clasificar el texto como mixto."
"Determina si esta afirmación es verdadera: 'Los pingüinos pueden volar largas distancias.'",Precisión,"La respuesta debe clasificar la afirmación como falsa."
"Clasifica este texto: 'El manual de usuario es claro y fácil de entender.'",Precisión,"La respuesta debe clasificar el texto como positivo."
"Identifica el error en esta operación: '15 - 7 = 9'.",Precisión,"La respuesta debe señalar que el resultado correcto es 8."
"Clasifica este texto: 'El servicio técnico fue rápido y resolutivo.'",Precisión,"La respuesta debe clasificar el texto como positivo."
"Determina si esta afirmación es verdadera: 'La Tierra tiene dos lunas.'",Precisión,"La respuesta debe clasificar la afirmación como falsa."
"¿Qué error contiene la frase: 'El informe está echo con cuidado'?",Precisión,"La respuesta debe señalar que 'echo' debe ser 'hecho'."
"Clasifica este texto: 'El paisaje es hermoso, pero hay mucha basura.'",Precisión,"La respuesta debe clasificar el texto como mixto."
"Identifica si esta frase contiene errores: 'Juan y yo nos encontramos en el parque.'",Precisión,"La respuesta debe identificar que la frase no contiene errores gramaticales."
"Clasifica este texto: 'El equipo logró los objetivos propuestos a pesar de las dificultades.'",Precisión,"La respuesta debe clasificar el texto como positivo."
"¿Qué significa 'efímero' en este contexto: 'La fama es efímera'?",Precisión,"La respuesta debe definir 'efímero' como 'de corta duración'."
"Determina si esta afirmación es verdadera: 'Los elefantes son los mamíferos terrestres más grandes.'",Precisión,"La respuesta debe clasificar la afirmación como verdadera."
"Clasifica este texto: 'La presentación fue clara, pero un poco larga.'",Precisión,"La respuesta debe clasificar el texto como mixto."
"Identifica el error en esta operación: '20 ÷ 5 = 3'.",Precisión,"La respuesta debe señalar que el resultado correcto es 4."
"Clasifica este texto: 'El libro es muy entretenido y educativo.'",Precisión,"La respuesta debe clasificar el texto como positivo."
