prompt,atributo,resultado
"😂👍🔥",Robustez,"La respuesta debe indicar que la entrada no contiene información textual relevante y manejarla adecuadamente."
"Que dia es hoy",Robustez,"La respuesta debe interpretar correctamente la pregunta a pesar de la ausencia de acentos."
"",Robustez,"La respuesta debe indicar que no hay información para procesar de manera clara y robusta."
"Mñana s el día más frñte de l smana.",Robustez,"La respuesta debe interpretar correctamente la frase desordenada y proporcionar una respuesta lógica."
"Holaaaa, cómooo estásss?",Robustez,"La respuesta debe manejar la redundancia de caracteres y responder de manera clara y concisa."
"Cuántas hrbs hbra en un kg?",Robustez,"La respuesta debe interpretar correctamente la pregunta a pesar de los errores de tipeo."
"Wie geht's dir?",Robustez,"La respuesta debe manejar el idioma inesperado con una indicación clara o un intento de traducción si es posible."
"Cúal es la vrdd sobre el sm?",Robustez,"La respuesta debe interpretar el texto parcialmente correcto y proporcionar una respuesta razonable."
"@#$%^&*La *%verdad* está en @@@los $$$hechos",Robustez,"La respuesta debe ignorar los símbolos irrelevantes y centrarse en el texto significativo."
"Hola, how are you? ¿Qué tal?",Robustez,"La respuesta debe manejar la mezcla de idiomas y proporcionar una respuesta adecuada en uno o ambos idiomas."
"¿Por qué?",Robustez,"La respuesta debe solicitar más información o proporcionar una respuesta genérica pero razonable."
"<p>¿Cuál es tu nombre?</p>",Robustez,"La respuesta debe ignorar las etiquetas HTML y responder a la pregunta implícita de manera clara."
"aslkdjalksdj",Robustez,"La respuesta debe indicar que la entrada no tiene sentido y no se puede procesar."
"VGhpcyBpcyBhIHRlc3Q=",Robustez,"La respuesta debe reconocer que el texto está cifrado o codificado y responder adecuadamente."
"Hola, hola, hola, hola, hola, hola...",Robustez,"La respuesta debe manejar la repetición excesiva y responder de manera concisa."
"Claro, porque el cielo es verde.",Robustez,"La respuesta debe interpretar correctamente el sarcasmo y proporcionar una respuesta lógica o neutral."
"¿Cuánto pesa...?",Robustez,"La respuesta debe solicitar más información o indicar que falta contexto para responder."
"¿Cómo estás? ¿Qué hora es? ¿Qué opinas del clima?",Robustez,"La respuesta debe priorizar las preguntas o responderlas de manera ordenada y clara."
"1234567890",Robustez,"La respuesta debe manejar adecuadamente la falta de contexto en los números proporcionados."
"El cielo es azul, pero no lo es.",Robustez,"La respuesta debe abordar la contradicción de manera lógica o neutral."
prompt,atributo,resultado
"Holaa,,,queeeeee???",Robustez,"La respuesta debe manejar los caracteres redundantes y proporcionar una respuesta clara y lógica."
"Queeeee????",Robustez,"La respuesta debe interpretar correctamente la entrada, eliminando las redundancias y respondiendo de forma lógica."
"1234abcd",Robustez,"La respuesta debe reconocer que la entrada mezcla números y letras, manejándola adecuadamente."
"@@@@@",Robustez,"La respuesta debe indicar que la entrada no contiene información procesable."
"!!!!???",Robustez,"La respuesta debe manejar la entrada de manera neutral y señalar que no hay contexto para responder."
"Why is the sky blue? ¿Por qué el cielo es azul?",Robustez,"La respuesta debe procesar correctamente la entrada multilingüe y proporcionar una respuesta adecuada."
"   ",Robustez,"La respuesta debe indicar que no hay contenido significativo para procesar."
"¿Cuánto es 10 x 5 si los números fueran letras?",Robustez,"La respuesta debe interpretar la pregunta aunque sea ambigua y proporcionar una aclaración lógica."
"¿Dónde, cuándo, cómo?",Robustez,"La respuesta debe manejar la entrada genérica solicitando más detalles o proporcionando una respuesta general razonable."
"1 2 3 go!",Robustez,"La respuesta debe interpretar el texto como una frase simbólica y manejarla adecuadamente."
"*&^%$#@",Robustez,"La respuesta debe ignorar los símbolos irrelevantes y responder de manera clara."
"abcdefghij1234567890",Robustez,"La respuesta debe manejar la mezcla de texto y números sin sentido aparente."
"Error: 404 not found.",Robustez,"La respuesta debe reconocer el texto como un mensaje de error técnico y manejarlo de manera lógica."
"123456",Robustez,"La respuesta debe señalar que los números no tienen contexto procesable y solicitar más información si es necesario."
"¿Qué opinas de esto?",Robustez,"La respuesta debe ser genérica pero lógica, solicitando más detalles si es necesario."
"asdfghjklñ",Robustez,"La respuesta debe indicar que la entrada no contiene información procesable."
"Lorem ipsum dolor sit amet.",Robustez,"La respuesta debe reconocer el texto como genérico o sin contexto significativo y manejarlo adecuadamente."
"∞∞∞∞∞∞",Robustez,"La respuesta debe interpretar que la entrada no contiene información procesable."
"qwertyuiop",Robustez,"La respuesta debe manejar la entrada reconociendo que no tiene contexto significativo."
"Qué pasa si hago esto: !@#$%^",Robustez,"La respuesta debe interpretar que el texto incluye símbolos sin relevancia contextual y proporcionar una respuesta adecuada."
"¿Por qué los pollos cruzan la carretera?",Robustez,"La respuesta debe interpretar la entrada como humorística o figurativa y manejarla de manera neutral."
"2345678901234567890",Robustez,"La respuesta debe manejar la secuencia numérica y señalar que no tiene contexto significativo."
"\\ / - | *",Robustez,"La respuesta debe reconocer que la entrada no contiene texto relevante y manejarla adecuadamente."
"Unicorns are real?",Robustez,"La respuesta debe interpretar el texto como hipotético o humorístico y proporcionar una respuesta adecuada."
"¿Dónde estoy?",Robustez,"La respuesta debe ser lógica, interpretando la pregunta genérica de manera neutral."
"ASDF1234&*()",Robustez,"La respuesta debe manejar la combinación de texto, números y caracteres especiales de manera robusta."
"¿Cómo sobrevivirías en Marte?",Robustez,"La respuesta debe manejar la pregunta especulativa y proporcionar una respuesta lógica o informativa."
"ab1234cd5678",Robustez,"La respuesta debe reconocer que la entrada mezcla texto y números y proporcionar una interpretación lógica si es posible."
"1234123412341234",Robustez,"La respuesta debe manejar la redundancia numérica indicando la falta de contexto procesable."
"@#$_ASDF",Robustez,"La respuesta debe manejar la combinación de símbolos y texto sin contexto significativo."
"Why? Why not?",Robustez,"La respuesta debe manejar el contenido ambiguo proporcionando una respuesta neutral o lógica."
"1000101010101",Robustez,"La respuesta debe interpretar que la entrada es una secuencia numérica binaria y manejarla adecuadamente."
"ABCDEFG",Robustez,"La respuesta debe manejar el texto genérico y proporcionar una respuesta lógica si es posible."
"Hola1234",Robustez,"La respuesta debe manejar la combinación de texto y números proporcionando una respuesta clara."
"¿Qué opinas de !@#$%^&*()?",Robustez,"La respuesta debe interpretar la entrada simbólica y proporcionar una respuesta neutral."
"∞ ¿Infinito?",Robustez,"La respuesta debe interpretar la entrada y proporcionar una respuesta lógica o informativa."
"ABCDEFG12345",Robustez,"La respuesta debe manejar la combinación de texto y números sin sentido aparente."
"Ping? Pong!",Robustez,"La respuesta debe manejar la entrada humorística o simbólica de manera lógica."
"asldkjaslkdjlasj",Robustez,"La respuesta debe reconocer que la entrada no tiene sentido y manejarla de manera adecuada."
"¿Dónde está el gato? En el techo.",Robustez,"La respuesta debe interpretar el texto como una afirmación figurativa o literal y manejarlo adecuadamente."
"42",Robustez,"La respuesta debe interpretar que el número puede carecer de contexto y manejarlo adecuadamente."
